Adottarlo	Adottar,lo
Aggiungendovi	Aggiungendo,vi
Allontanandoci	Allontanando,ci
Ascoltami	Ascolta,mi
Ascoltarlo	Ascoltar,lo
Basandosi	Basando,si
Chiamateli	Chiamate,li
Concediti	Concedi,ti
Connettiti	Connetti,ti
Curali	Cura,li
Eccole	Ecco,le
Eccolo	Ecco,lo
Eliminala	Elimina,la
Fatemene	Fate,me,ne
Fatti	Fat,ti
Focalizzali	Focalizza,li
Formatisi	Formati,si
Idratala	Idrata,la
Immaginali	Immagina,li
Inoltrandosi	Inoltrando,si
Intendiamoci	Intendiamo,ci
Ispirandosi	Ispirando,si
Lasciatemi	Lasciate,mi
Occupiamoci	Occupiamo,ci
Pensatti	Pensat,ti
Permettetemi	Permettete,mi
Prendila	Prendi,la
Rassegnamoci	Rassegnamo,ci
Rassodalo	Rassoda,lo
Regalati	Regala,ti
Ricordandone	Ricordando,ne
Ripetiamolo	Ripetiamo,lo
Rivelarne	Rivelar,ne
Spingiamoci	Spingiamo,ci
Sugli	Su,gli
Sull'	Su,l'
Tonificalo	Tonifica,lo
Trattale	Tratta,le
Trovarselo	Trovar,se,lo
Usalo	Usa,lo
abbattersi	abbatter,si
abbatterti	abbatter,ti
abbiamocela	abbiamo,ce,la
abbiamocele	abbiamo,ce,le
abbiamoceli	abbiamo,ce,li
abbiamocelo	abbiamo,ce,lo
abbiamocene	abbiamo,ce,ne
abbiamoci	abbiamo,ci
abbiamola	abbiamo,la
abbiamole	abbiamo,le
abbiamoli	abbiamo,li
abbiamolo	abbiamo,lo
abbiamone	abbiamo,ne
abbiatecela	abbiate,ce,la
abbiatecele	abbiate,ce,le
abbiateceli	abbiate,ce,li
abbiatecelo	abbiate,ce,lo
abbiatecene	abbiate,ce,ne
abbiateci	abbiate,ci
abbiatela	abbiate,la
abbiatele	abbiate,le
abbiateli	abbiate,li
abbiatelo	abbiate,lo
abbiatemela	abbiate,me,la
abbiatemele	abbiate,me,le
abbiatemeli	abbiate,me,li
abbiatemelo	abbiate,me,lo
abbiatemi	abbiate,mi
abbiatene	abbiate,ne
abbiatevela	abbiate,ve,la
abbiatevele	abbiate,ve,le
abbiateveli	abbiate,ve,li
abbiatevelo	abbiate,ve,lo
abbiatevene	abbiate,ve,ne
abbiatevi	abbiate,vi
abbicela	abbi,ce,la
abbicele	abbi,ce,le
abbiceli	abbi,ce,li
abbicelo	abbi,ce,lo
abbicene	abbi,ce,ne
abbici	abbi,ci
abbigli	abbi,gli
abbigliela	abbi,glie,la
abbigliele	abbi,glie,le
abbiglieli	abbi,glie,li
abbiglielo	abbi,glie,lo
abbigliene	abbi,glie,ne
abbila	abbi,la
abbile	abbi,le
abbili	abbi,li
abbilo	abbi,lo
abbimela	abbi,me,la
abbimele	abbi,me,le
abbimeli	abbi,me,li
abbimelo	abbi,me,lo
abbimene	abbi,me,ne
abbimi	abbi,mi
abbine	abbi,ne
abbisela	abbi,se,la
abbisele	abbi,se,le
abbiseli	abbi,se,li
abbiselo	abbi,se,lo
abbisene	abbi,se,ne
abbisi	abbi,si
abbitela	abbi,te,la
abbitele	abbi,te,le
abbiteli	abbi,te,li
abbitelo	abbi,te,lo
abbitene	abbi,te,ne
abbiti	abbi,ti
abbivela	abbi,ve,la
abbivele	abbi,ve,le
abbiveli	abbi,ve,li
abbivelo	abbi,ve,lo
abbivene	abbi,ve,ne
abbivi	abbi,vi
abbracciacela	abbraccia,ce,la
abbracciacele	abbraccia,ce,le
abbracciaceli	abbraccia,ce,li
abbracciacelo	abbraccia,ce,lo
abbracciacene	abbraccia,ce,ne
abbracciaci	abbraccia,ci
abbracciagli	abbraccia,gli
abbracciagliela	abbraccia,glie,la
abbracciagliele	abbraccia,glie,le
abbracciaglieli	abbraccia,glie,li
abbracciaglielo	abbraccia,glie,lo
abbracciagliene	abbraccia,glie,ne
abbracciala	abbraccia,la
abbracciale	abbraccia,le
abbracciali	abbraccia,li
abbraccialo	abbraccia,lo
abbracciamela	abbraccia,me,la
abbracciamele	abbraccia,me,le
abbracciameli	abbraccia,me,li
abbracciamelo	abbraccia,me,lo
abbracciamene	abbraccia,me,ne
abbracciami	abbraccia,mi
abbracciamocela	abbracciamo,ce,la
abbracciamocele	abbracciamo,ce,le
abbracciamoceli	abbracciamo,ce,li
abbracciamocelo	abbracciamo,ce,lo
abbracciamocene	abbracciamo,ce,ne
abbracciamoci	abbracciamo,ci
abbracciamola	abbracciamo,la
abbracciamole	abbracciamo,le
abbracciamoli	abbracciamo,li
abbracciamolo	abbracciamo,lo
abbracciamone	abbracciamo,ne
abbracciandocela	abbracciando,ce,la
abbracciandocele	abbracciando,ce,le
abbracciandoceli	abbracciando,ce,li
abbracciandocelo	abbracciando,ce,lo
abbracciandocene	abbracciando,ce,ne
abbracciandoci	abbracciando,ci
abbracciandogli	abbracciando,gli
abbracciandogliela	abbracciando,glie,la
abbracciandogliele	abbracciando,glie,le
abbracciandoglieli	abbracciando,glie,li
abbracciandoglielo	abbracciando,glie,lo
abbracciandogliene	abbracciando,glie,ne
abbracciandola	abbracciando,la
abbracciandole	abbracciando,le
abbracciandoli	abbracciando,li
abbracciandolo	abbracciando,lo
abbracciandomela	abbracciando,me,la
abbracciandomele	abbracciando,me,le
abbracciandomeli	abbracciando,me,li
abbracciandomelo	abbracciando,me,lo
abbracciandomene	abbracciando,me,ne
abbracciandomi	abbracciando,mi
abbracciandone	abbracciando,ne
abbracciandosela	abbracciando,se,la
abbracciandosele	abbracciando,se,le
abbracciandoseli	abbracciando,se,li
abbracciandoselo	abbracciando,se,lo
abbracciandosene	abbracciando,se,ne
abbracciandosi	abbracciando,si
abbracciandotela	abbracciando,te,la
abbracciandotele	abbracciando,te,le
abbracciandoteli	abbracciando,te,li
abbracciandotelo	abbracciando,te,lo
abbracciandotene	abbracciando,te,ne
abbracciandoti	abbracciando,ti
abbracciandovela	abbracciando,ve,la
abbracciandovele	abbracciando,ve,le
abbracciandoveli	abbracciando,ve,li
abbracciandovelo	abbracciando,ve,lo
abbracciandovene	abbracciando,ve,ne
abbracciandovi	abbracciando,vi
abbracciane	abbraccia,ne
